model,min_df,ngram_range,binary,cleaning_type,accuracy,classification_report,confusion_matrix,vocabulary_size
Naive Bayes,5,Unigrama,True,Nenhuma,0.8285714285714286,"{'Non SCR': {'precision': 0.8831858407079646, 'recall': 0.9023508137432188, 'f1-score': 0.8926654740608229, 'support': 553.0}, 'SCR': {'precision': 0.6, 'recall': 0.5510204081632653, 'f1-score': 0.574468085106383, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7415929203539823, 'recall': 0.726685610953242, 'f1-score': 0.733566779583603, 'support': 700.0}, 'weighted avg': {'precision': 0.8237168141592921, 'recall': 0.8285714285714286, 'f1-score': 0.8258440223803905, 'support': 700.0}}","{0: {'No-SCR': 499, 'SCR': 66}, 1: {'No-SCR': 54, 'SCR': 81}}",741
SVM,5,Unigrama,True,Nenhuma,0.8385714285714285,"{'Non SCR': {'precision': 0.8618421052631579, 'recall': 0.9475587703435805, 'f1-score': 0.9026701119724375, 'support': 553.0}, 'SCR': {'precision': 0.6847826086956522, 'recall': 0.42857142857142855, 'f1-score': 0.5271966527196653, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.773312356979405, 'recall': 0.6880650994575045, 'f1-score': 0.7149333823460514, 'support': 700.0}, 'weighted avg': {'precision': 0.8246596109839818, 'recall': 0.8385714285714285, 'f1-score': 0.8238206855293554, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 84}, 1: {'No-SCR': 29, 'SCR': 63}}",741
Logistic Regression (L1),5,Unigrama,True,Nenhuma,0.8414285714285714,"{'Non SCR': {'precision': 0.8720538720538721, 'recall': 0.9367088607594937, 'f1-score': 0.9032258064516129, 'support': 553.0}, 'SCR': {'precision': 0.6698113207547169, 'recall': 0.48299319727891155, 'f1-score': 0.5612648221343873, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7709325964042946, 'recall': 0.7098510290192026, 'f1-score': 0.7322453142930001, 'support': 700.0}, 'weighted avg': {'precision': 0.8295829362810496, 'recall': 0.8414285714285714, 'f1-score': 0.8314139997449955, 'support': 700.0}}","{0: {'No-SCR': 518, 'SCR': 76}, 1: {'No-SCR': 35, 'SCR': 71}}",741
Logistic Regression (L2),5,Unigrama,True,Nenhuma,0.8328571428571429,"{'Non SCR': {'precision': 0.8657718120805369, 'recall': 0.9330922242314648, 'f1-score': 0.8981723237597912, 'support': 553.0}, 'SCR': {'precision': 0.6442307692307693, 'recall': 0.4557823129251701, 'f1-score': 0.5338645418326693, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7550012906556531, 'recall': 0.6944372685783174, 'f1-score': 0.7160184327962302, 'support': 700.0}, 'weighted avg': {'precision': 0.8192481930820856, 'recall': 0.8328571428571429, 'f1-score': 0.8216676895550956, 'support': 700.0}}","{0: {'No-SCR': 516, 'SCR': 80}, 1: {'No-SCR': 37, 'SCR': 67}}",741
Naive Bayes,5,Unigrama,True,Parcial,0.8285714285714286,"{'Non SCR': {'precision': 0.8831858407079646, 'recall': 0.9023508137432188, 'f1-score': 0.8926654740608229, 'support': 553.0}, 'SCR': {'precision': 0.6, 'recall': 0.5510204081632653, 'f1-score': 0.574468085106383, 'support': 147.0}, 'accuracy': 0.8285714285714286, 'macro avg': {'precision': 0.7415929203539823, 'recall': 0.726685610953242, 'f1-score': 0.733566779583603, 'support': 700.0}, 'weighted avg': {'precision': 0.8237168141592921, 'recall': 0.8285714285714286, 'f1-score': 0.8258440223803905, 'support': 700.0}}","{0: {'No-SCR': 499, 'SCR': 66}, 1: {'No-SCR': 54, 'SCR': 81}}",741
SVM,5,Unigrama,True,Parcial,0.8385714285714285,"{'Non SCR': {'precision': 0.8618421052631579, 'recall': 0.9475587703435805, 'f1-score': 0.9026701119724375, 'support': 553.0}, 'SCR': {'precision': 0.6847826086956522, 'recall': 0.42857142857142855, 'f1-score': 0.5271966527196653, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.773312356979405, 'recall': 0.6880650994575045, 'f1-score': 0.7149333823460514, 'support': 700.0}, 'weighted avg': {'precision': 0.8246596109839818, 'recall': 0.8385714285714285, 'f1-score': 0.8238206855293554, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 84}, 1: {'No-SCR': 29, 'SCR': 63}}",741
Logistic Regression (L1),5,Unigrama,True,Parcial,0.8414285714285714,"{'Non SCR': {'precision': 0.8720538720538721, 'recall': 0.9367088607594937, 'f1-score': 0.9032258064516129, 'support': 553.0}, 'SCR': {'precision': 0.6698113207547169, 'recall': 0.48299319727891155, 'f1-score': 0.5612648221343873, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7709325964042946, 'recall': 0.7098510290192026, 'f1-score': 0.7322453142930001, 'support': 700.0}, 'weighted avg': {'precision': 0.8295829362810496, 'recall': 0.8414285714285714, 'f1-score': 0.8314139997449955, 'support': 700.0}}","{0: {'No-SCR': 518, 'SCR': 76}, 1: {'No-SCR': 35, 'SCR': 71}}",741
Logistic Regression (L2),5,Unigrama,True,Parcial,0.8328571428571429,"{'Non SCR': {'precision': 0.8657718120805369, 'recall': 0.9330922242314648, 'f1-score': 0.8981723237597912, 'support': 553.0}, 'SCR': {'precision': 0.6442307692307693, 'recall': 0.4557823129251701, 'f1-score': 0.5338645418326693, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7550012906556531, 'recall': 0.6944372685783174, 'f1-score': 0.7160184327962302, 'support': 700.0}, 'weighted avg': {'precision': 0.8192481930820856, 'recall': 0.8328571428571429, 'f1-score': 0.8216676895550956, 'support': 700.0}}","{0: {'No-SCR': 516, 'SCR': 80}, 1: {'No-SCR': 37, 'SCR': 67}}",741
Naive Bayes,5,Unigrama,True,Total,0.8242857142857143,"{'Non SCR': {'precision': 0.8706896551724138, 'recall': 0.9132007233273056, 'f1-score': 0.8914386584289496, 'support': 553.0}, 'SCR': {'precision': 0.6, 'recall': 0.4897959183673469, 'f1-score': 0.5393258426966292, 'support': 147.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.7353448275862069, 'recall': 0.7014983208473262, 'f1-score': 0.7153822505627894, 'support': 700.0}, 'weighted avg': {'precision': 0.8138448275862069, 'recall': 0.8242857142857143, 'f1-score': 0.8174949671251623, 'support': 700.0}}","{0: {'No-SCR': 505, 'SCR': 75}, 1: {'No-SCR': 48, 'SCR': 72}}",637
SVM,5,Unigrama,True,Total,0.8414285714285714,"{'Non SCR': {'precision': 0.8564516129032258, 'recall': 0.9602169981916817, 'f1-score': 0.9053708439897699, 'support': 553.0}, 'SCR': {'precision': 0.725, 'recall': 0.3945578231292517, 'f1-score': 0.5110132158590308, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.790725806451613, 'recall': 0.6773874106604667, 'f1-score': 0.7081920299244003, 'support': 700.0}, 'weighted avg': {'precision': 0.8288467741935485, 'recall': 0.8414285714285714, 'f1-score': 0.8225557420823146, 'support': 700.0}}","{0: {'No-SCR': 531, 'SCR': 89}, 1: {'No-SCR': 22, 'SCR': 58}}",637
Logistic Regression (L1),5,Unigrama,True,Total,0.8385714285714285,"{'Non SCR': {'precision': 0.8654485049833887, 'recall': 0.9421338155515371, 'f1-score': 0.9021645021645022, 'support': 553.0}, 'SCR': {'precision': 0.673469387755102, 'recall': 0.4489795918367347, 'f1-score': 0.5387755102040817, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.7694589463692454, 'recall': 0.6955567036941359, 'f1-score': 0.7204700061842919, 'support': 700.0}, 'weighted avg': {'precision': 0.8251328903654485, 'recall': 0.8385714285714285, 'f1-score': 0.8258528138528138, 'support': 700.0}}","{0: {'No-SCR': 521, 'SCR': 81}, 1: {'No-SCR': 32, 'SCR': 66}}",637
Logistic Regression (L2),5,Unigrama,True,Total,0.84,"{'Non SCR': {'precision': 0.8644628099173554, 'recall': 0.945750452079566, 'f1-score': 0.9032815198618307, 'support': 553.0}, 'SCR': {'precision': 0.6842105263157895, 'recall': 0.4421768707482993, 'f1-score': 0.5371900826446281, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7743366681165724, 'recall': 0.6939636614139326, 'f1-score': 0.7202358012532294, 'support': 700.0}, 'weighted avg': {'precision': 0.8266098303610265, 'recall': 0.84, 'f1-score': 0.8264023180462181, 'support': 700.0}}","{0: {'No-SCR': 523, 'SCR': 82}, 1: {'No-SCR': 30, 'SCR': 65}}",637
Naive Bayes,5,Unigrama,False,Nenhuma,0.8185714285714286,"{'Non SCR': {'precision': 0.8763250883392226, 'recall': 0.8969258589511754, 'f1-score': 0.8865058087578195, 'support': 553.0}, 'SCR': {'precision': 0.5746268656716418, 'recall': 0.5238095238095238, 'f1-score': 0.5480427046263345, 'support': 147.0}, 'accuracy': 0.8185714285714286, 'macro avg': {'precision': 0.7254759770054322, 'recall': 0.7103676913803496, 'f1-score': 0.717274256692077, 'support': 700.0}, 'weighted avg': {'precision': 0.8129684615790307, 'recall': 0.8185714285714286, 'f1-score': 0.8154285568902077, 'support': 700.0}}","{0: {'No-SCR': 496, 'SCR': 70}, 1: {'No-SCR': 57, 'SCR': 77}}",741
SVM,5,Unigrama,False,Nenhuma,0.8257142857142857,"{'Non SCR': {'precision': 0.8470209339774557, 'recall': 0.9511754068716094, 'f1-score': 0.8960817717206133, 'support': 553.0}, 'SCR': {'precision': 0.6582278481012658, 'recall': 0.35374149659863946, 'f1-score': 0.46017699115044247, 'support': 147.0}, 'accuracy': 0.8257142857142857, 'macro avg': {'precision': 0.7526243910393607, 'recall': 0.6524584517351244, 'f1-score': 0.6781293814355279, 'support': 700.0}, 'weighted avg': {'precision': 0.8073743859434558, 'recall': 0.8257142857142857, 'f1-score': 0.8045417678008775, 'support': 700.0}}","{0: {'No-SCR': 526, 'SCR': 95}, 1: {'No-SCR': 27, 'SCR': 52}}",741
Logistic Regression (L1),5,Unigrama,False,Nenhuma,0.8528571428571429,"{'Non SCR': {'precision': 0.8725165562913907, 'recall': 0.9529837251356239, 'f1-score': 0.9109766637856526, 'support': 553.0}, 'SCR': {'precision': 0.7291666666666666, 'recall': 0.47619047619047616, 'f1-score': 0.5761316872427984, 'support': 147.0}, 'accuracy': 0.8528571428571429, 'macro avg': {'precision': 0.8008416114790287, 'recall': 0.71458710066305, 'f1-score': 0.7435541755142254, 'support': 700.0}, 'weighted avg': {'precision': 0.8424130794701987, 'recall': 0.8528571428571429, 'f1-score': 0.8406592187116532, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 77}, 1: {'No-SCR': 26, 'SCR': 70}}",741
Logistic Regression (L2),5,Unigrama,False,Nenhuma,0.8414285714285714,"{'Non SCR': {'precision': 0.8646864686468647, 'recall': 0.9475587703435805, 'f1-score': 0.9042277825711821, 'support': 553.0}, 'SCR': {'precision': 0.6914893617021277, 'recall': 0.4421768707482993, 'f1-score': 0.5394190871369294, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7780879151744962, 'recall': 0.6948678205459399, 'f1-score': 0.7218234348540558, 'support': 700.0}, 'weighted avg': {'precision': 0.82831507618847, 'recall': 0.8414285714285714, 'f1-score': 0.827617956529989, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 82}, 1: {'No-SCR': 29, 'SCR': 65}}",741
Naive Bayes,5,Unigrama,False,Parcial,0.8185714285714286,"{'Non SCR': {'precision': 0.8763250883392226, 'recall': 0.8969258589511754, 'f1-score': 0.8865058087578195, 'support': 553.0}, 'SCR': {'precision': 0.5746268656716418, 'recall': 0.5238095238095238, 'f1-score': 0.5480427046263345, 'support': 147.0}, 'accuracy': 0.8185714285714286, 'macro avg': {'precision': 0.7254759770054322, 'recall': 0.7103676913803496, 'f1-score': 0.717274256692077, 'support': 700.0}, 'weighted avg': {'precision': 0.8129684615790307, 'recall': 0.8185714285714286, 'f1-score': 0.8154285568902077, 'support': 700.0}}","{0: {'No-SCR': 496, 'SCR': 70}, 1: {'No-SCR': 57, 'SCR': 77}}",741
SVM,5,Unigrama,False,Parcial,0.8257142857142857,"{'Non SCR': {'precision': 0.8470209339774557, 'recall': 0.9511754068716094, 'f1-score': 0.8960817717206133, 'support': 553.0}, 'SCR': {'precision': 0.6582278481012658, 'recall': 0.35374149659863946, 'f1-score': 0.46017699115044247, 'support': 147.0}, 'accuracy': 0.8257142857142857, 'macro avg': {'precision': 0.7526243910393607, 'recall': 0.6524584517351244, 'f1-score': 0.6781293814355279, 'support': 700.0}, 'weighted avg': {'precision': 0.8073743859434558, 'recall': 0.8257142857142857, 'f1-score': 0.8045417678008775, 'support': 700.0}}","{0: {'No-SCR': 526, 'SCR': 95}, 1: {'No-SCR': 27, 'SCR': 52}}",741
Logistic Regression (L1),5,Unigrama,False,Parcial,0.8528571428571429,"{'Non SCR': {'precision': 0.8725165562913907, 'recall': 0.9529837251356239, 'f1-score': 0.9109766637856526, 'support': 553.0}, 'SCR': {'precision': 0.7291666666666666, 'recall': 0.47619047619047616, 'f1-score': 0.5761316872427984, 'support': 147.0}, 'accuracy': 0.8528571428571429, 'macro avg': {'precision': 0.8008416114790287, 'recall': 0.71458710066305, 'f1-score': 0.7435541755142254, 'support': 700.0}, 'weighted avg': {'precision': 0.8424130794701987, 'recall': 0.8528571428571429, 'f1-score': 0.8406592187116532, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 77}, 1: {'No-SCR': 26, 'SCR': 70}}",741
Logistic Regression (L2),5,Unigrama,False,Parcial,0.8414285714285714,"{'Non SCR': {'precision': 0.8646864686468647, 'recall': 0.9475587703435805, 'f1-score': 0.9042277825711821, 'support': 553.0}, 'SCR': {'precision': 0.6914893617021277, 'recall': 0.4421768707482993, 'f1-score': 0.5394190871369294, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7780879151744962, 'recall': 0.6948678205459399, 'f1-score': 0.7218234348540558, 'support': 700.0}, 'weighted avg': {'precision': 0.82831507618847, 'recall': 0.8414285714285714, 'f1-score': 0.827617956529989, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 82}, 1: {'No-SCR': 29, 'SCR': 65}}",741
Naive Bayes,5,Unigrama,False,Total,0.8185714285714286,"{'Non SCR': {'precision': 0.8685121107266436, 'recall': 0.9077757685352622, 'f1-score': 0.887709991158267, 'support': 553.0}, 'SCR': {'precision': 0.5819672131147541, 'recall': 0.48299319727891155, 'f1-score': 0.5278810408921933, 'support': 147.0}, 'accuracy': 0.8185714285714286, 'macro avg': {'precision': 0.7252396619206989, 'recall': 0.6953844829070869, 'f1-score': 0.7077955160252302, 'support': 700.0}, 'weighted avg': {'precision': 0.8083376822281468, 'recall': 0.8185714285714286, 'f1-score': 0.8121459116023916, 'support': 700.0}}","{0: {'No-SCR': 502, 'SCR': 76}, 1: {'No-SCR': 51, 'SCR': 71}}",637
SVM,5,Unigrama,False,Total,0.84,"{'Non SCR': {'precision': 0.8632619439868204, 'recall': 0.9475587703435805, 'f1-score': 0.903448275862069, 'support': 553.0}, 'SCR': {'precision': 0.6881720430107527, 'recall': 0.43537414965986393, 'f1-score': 0.5333333333333333, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7757169934987866, 'recall': 0.6914664600017222, 'f1-score': 0.7183908045977012, 'support': 700.0}, 'weighted avg': {'precision': 0.8264930647818461, 'recall': 0.84, 'f1-score': 0.8257241379310345, 'support': 700.0}}","{0: {'No-SCR': 524, 'SCR': 83}, 1: {'No-SCR': 29, 'SCR': 64}}",637
Logistic Regression (L1),5,Unigrama,False,Total,0.8328571428571429,"{'Non SCR': {'precision': 0.8585526315789473, 'recall': 0.9439421338155516, 'f1-score': 0.8992248062015504, 'support': 553.0}, 'SCR': {'precision': 0.6630434782608695, 'recall': 0.41496598639455784, 'f1-score': 0.5104602510460251, 'support': 147.0}, 'accuracy': 0.8328571428571429, 'macro avg': {'precision': 0.7607980549199085, 'recall': 0.6794540601050547, 'f1-score': 0.7048425286237878, 'support': 700.0}, 'weighted avg': {'precision': 0.817495709382151, 'recall': 0.8328571428571429, 'f1-score': 0.8175842496188901, 'support': 700.0}}","{0: {'No-SCR': 522, 'SCR': 86}, 1: {'No-SCR': 31, 'SCR': 61}}",637
Logistic Regression (L2),5,Unigrama,False,Total,0.8414285714285714,"{'Non SCR': {'precision': 0.8611111111111112, 'recall': 0.9529837251356239, 'f1-score': 0.9047210300429185, 'support': 553.0}, 'SCR': {'precision': 0.7045454545454546, 'recall': 0.4217687074829932, 'f1-score': 0.5276595744680851, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7828282828282829, 'recall': 0.6873762163093086, 'f1-score': 0.7161903022555018, 'support': 700.0}, 'weighted avg': {'precision': 0.8282323232323233, 'recall': 0.8414285714285714, 'f1-score': 0.8255381243722035, 'support': 700.0}}","{0: {'No-SCR': 527, 'SCR': 85}, 1: {'No-SCR': 26, 'SCR': 62}}",637
Naive Bayes,5,Unigrama + Bigrama,True,Nenhuma,0.8242857142857143,"{'Non SCR': {'precision': 0.8866906474820144, 'recall': 0.891500904159132, 'f1-score': 0.8890892696122633, 'support': 553.0}, 'SCR': {'precision': 0.5833333333333334, 'recall': 0.5714285714285714, 'f1-score': 0.5773195876288659, 'support': 147.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.735011990407674, 'recall': 0.7314647377938517, 'f1-score': 0.7332044286205646, 'support': 700.0}, 'weighted avg': {'precision': 0.8229856115107915, 'recall': 0.8242857142857143, 'f1-score': 0.8236176363957499, 'support': 700.0}}","{0: {'No-SCR': 493, 'SCR': 63}, 1: {'No-SCR': 60, 'SCR': 84}}",1313
SVM,5,Unigrama + Bigrama,True,Nenhuma,0.8385714285714285,"{'Non SCR': {'precision': 0.8525641025641025, 'recall': 0.9620253164556962, 'f1-score': 0.9039932030586236, 'support': 553.0}, 'SCR': {'precision': 0.7236842105263158, 'recall': 0.3741496598639456, 'f1-score': 0.49327354260089684, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.7881241565452092, 'recall': 0.6680874881598209, 'f1-score': 0.6986333728297602, 'support': 700.0}, 'weighted avg': {'precision': 0.8254993252361672, 'recall': 0.8385714285714285, 'f1-score': 0.8177420743625009, 'support': 700.0}}","{0: {'No-SCR': 532, 'SCR': 92}, 1: {'No-SCR': 21, 'SCR': 55}}",1313
Logistic Regression (L1),5,Unigrama + Bigrama,True,Nenhuma,0.8371428571428572,"{'Non SCR': {'precision': 0.8664440734557596, 'recall': 0.9385171790235082, 'f1-score': 0.9010416666666666, 'support': 553.0}, 'SCR': {'precision': 0.6633663366336634, 'recall': 0.4557823129251701, 'f1-score': 0.5403225806451613, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.7649052050447115, 'recall': 0.6971497459743391, 'f1-score': 0.720682123655914, 'support': 700.0}, 'weighted avg': {'precision': 0.8237977487231194, 'recall': 0.8371428571428572, 'f1-score': 0.8252906586021505, 'support': 700.0}}","{0: {'No-SCR': 519, 'SCR': 80}, 1: {'No-SCR': 34, 'SCR': 67}}",1313
Logistic Regression (L2),5,Unigrama + Bigrama,True,Nenhuma,0.8471428571428572,"{'Non SCR': {'precision': 0.8766891891891891, 'recall': 0.9385171790235082, 'f1-score': 0.9065502183406113, 'support': 553.0}, 'SCR': {'precision': 0.6851851851851852, 'recall': 0.5034013605442177, 'f1-score': 0.5803921568627451, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7809371871871872, 'recall': 0.7209592697838629, 'f1-score': 0.7434711876016782, 'support': 700.0}, 'weighted avg': {'precision': 0.8364733483483483, 'recall': 0.8471428571428572, 'f1-score': 0.8380570254302594, 'support': 700.0}}","{0: {'No-SCR': 519, 'SCR': 73}, 1: {'No-SCR': 34, 'SCR': 74}}",1313
Naive Bayes,5,Unigrama + Bigrama,True,Parcial,0.8242857142857143,"{'Non SCR': {'precision': 0.8866906474820144, 'recall': 0.891500904159132, 'f1-score': 0.8890892696122633, 'support': 553.0}, 'SCR': {'precision': 0.5833333333333334, 'recall': 0.5714285714285714, 'f1-score': 0.5773195876288659, 'support': 147.0}, 'accuracy': 0.8242857142857143, 'macro avg': {'precision': 0.735011990407674, 'recall': 0.7314647377938517, 'f1-score': 0.7332044286205646, 'support': 700.0}, 'weighted avg': {'precision': 0.8229856115107915, 'recall': 0.8242857142857143, 'f1-score': 0.8236176363957499, 'support': 700.0}}","{0: {'No-SCR': 493, 'SCR': 63}, 1: {'No-SCR': 60, 'SCR': 84}}",1313
SVM,5,Unigrama + Bigrama,True,Parcial,0.8385714285714285,"{'Non SCR': {'precision': 0.8525641025641025, 'recall': 0.9620253164556962, 'f1-score': 0.9039932030586236, 'support': 553.0}, 'SCR': {'precision': 0.7236842105263158, 'recall': 0.3741496598639456, 'f1-score': 0.49327354260089684, 'support': 147.0}, 'accuracy': 0.8385714285714285, 'macro avg': {'precision': 0.7881241565452092, 'recall': 0.6680874881598209, 'f1-score': 0.6986333728297602, 'support': 700.0}, 'weighted avg': {'precision': 0.8254993252361672, 'recall': 0.8385714285714285, 'f1-score': 0.8177420743625009, 'support': 700.0}}","{0: {'No-SCR': 532, 'SCR': 92}, 1: {'No-SCR': 21, 'SCR': 55}}",1313
Logistic Regression (L1),5,Unigrama + Bigrama,True,Parcial,0.8371428571428572,"{'Non SCR': {'precision': 0.8664440734557596, 'recall': 0.9385171790235082, 'f1-score': 0.9010416666666666, 'support': 553.0}, 'SCR': {'precision': 0.6633663366336634, 'recall': 0.4557823129251701, 'f1-score': 0.5403225806451613, 'support': 147.0}, 'accuracy': 0.8371428571428572, 'macro avg': {'precision': 0.7649052050447115, 'recall': 0.6971497459743391, 'f1-score': 0.720682123655914, 'support': 700.0}, 'weighted avg': {'precision': 0.8237977487231194, 'recall': 0.8371428571428572, 'f1-score': 0.8252906586021505, 'support': 700.0}}","{0: {'No-SCR': 519, 'SCR': 80}, 1: {'No-SCR': 34, 'SCR': 67}}",1313
Logistic Regression (L2),5,Unigrama + Bigrama,True,Parcial,0.8471428571428572,"{'Non SCR': {'precision': 0.8766891891891891, 'recall': 0.9385171790235082, 'f1-score': 0.9065502183406113, 'support': 553.0}, 'SCR': {'precision': 0.6851851851851852, 'recall': 0.5034013605442177, 'f1-score': 0.5803921568627451, 'support': 147.0}, 'accuracy': 0.8471428571428572, 'macro avg': {'precision': 0.7809371871871872, 'recall': 0.7209592697838629, 'f1-score': 0.7434711876016782, 'support': 700.0}, 'weighted avg': {'precision': 0.8364733483483483, 'recall': 0.8471428571428572, 'f1-score': 0.8380570254302594, 'support': 700.0}}","{0: {'No-SCR': 519, 'SCR': 73}, 1: {'No-SCR': 34, 'SCR': 74}}",1313
Naive Bayes,5,Unigrama + Bigrama,True,Total,0.8228571428571428,"{'Non SCR': {'precision': 0.8756567425569177, 'recall': 0.9041591320072333, 'f1-score': 0.8896797153024911, 'support': 553.0}, 'SCR': {'precision': 0.5891472868217055, 'recall': 0.5170068027210885, 'f1-score': 0.5507246376811594, 'support': 147.0}, 'accuracy': 0.8228571428571428, 'macro avg': {'precision': 0.7324020146893115, 'recall': 0.7105829673641608, 'f1-score': 0.7202021764918253, 'support': 700.0}, 'weighted avg': {'precision': 0.8154897568525231, 'recall': 0.8228571428571428, 'f1-score': 0.8184991490020116, 'support': 700.0}}","{0: {'No-SCR': 500, 'SCR': 71}, 1: {'No-SCR': 53, 'SCR': 76}}",708
SVM,5,Unigrama + Bigrama,True,Total,0.8428571428571429,"{'Non SCR': {'precision': 0.856682769726248, 'recall': 0.9620253164556962, 'f1-score': 0.9063032367972743, 'support': 553.0}, 'SCR': {'precision': 0.7341772151898734, 'recall': 0.3945578231292517, 'f1-score': 0.5132743362831859, 'support': 147.0}, 'accuracy': 0.8428571428571429, 'macro avg': {'precision': 0.7954299924580608, 'recall': 0.678291569792474, 'f1-score': 0.7097887865402301, 'support': 700.0}, 'weighted avg': {'precision': 0.8309566032736094, 'recall': 0.8428571428571429, 'f1-score': 0.8237671676893157, 'support': 700.0}}","{0: {'No-SCR': 532, 'SCR': 89}, 1: {'No-SCR': 21, 'SCR': 58}}",708
Logistic Regression (L1),5,Unigrama + Bigrama,True,Total,0.84,"{'Non SCR': {'precision': 0.8656716417910447, 'recall': 0.9439421338155516, 'f1-score': 0.903114186851211, 'support': 553.0}, 'SCR': {'precision': 0.6804123711340206, 'recall': 0.4489795918367347, 'f1-score': 0.5409836065573771, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7730420064625327, 'recall': 0.6964608628261432, 'f1-score': 0.7220488967042941, 'support': 700.0}, 'weighted avg': {'precision': 0.8267671949530696, 'recall': 0.84, 'f1-score': 0.8270667649895059, 'support': 700.0}}","{0: {'No-SCR': 522, 'SCR': 81}, 1: {'No-SCR': 31, 'SCR': 66}}",708
Logistic Regression (L2),5,Unigrama + Bigrama,True,Total,0.8414285714285714,"{'Non SCR': {'precision': 0.8683333333333333, 'recall': 0.9421338155515371, 'f1-score': 0.9037294015611448, 'support': 553.0}, 'SCR': {'precision': 0.68, 'recall': 0.46258503401360546, 'f1-score': 0.5506072874493927, 'support': 147.0}, 'accuracy': 0.8414285714285714, 'macro avg': {'precision': 0.7741666666666667, 'recall': 0.7023594247825713, 'f1-score': 0.7271683445052688, 'support': 700.0}, 'weighted avg': {'precision': 0.8287833333333333, 'recall': 0.8414285714285714, 'f1-score': 0.8295737575976768, 'support': 700.0}}","{0: {'No-SCR': 521, 'SCR': 79}, 1: {'No-SCR': 32, 'SCR': 68}}",708
Naive Bayes,5,Unigrama + Bigrama,False,Nenhuma,0.8271428571428572,"{'Non SCR': {'precision': 0.8898916967509025, 'recall': 0.891500904159132, 'f1-score': 0.8906955736224029, 'support': 553.0}, 'SCR': {'precision': 0.589041095890411, 'recall': 0.5850340136054422, 'f1-score': 0.5870307167235495, 'support': 147.0}, 'accuracy': 0.8271428571428572, 'macro avg': {'precision': 0.7394663963206567, 'recall': 0.7382674588822871, 'f1-score': 0.7388631451729761, 'support': 700.0}, 'weighted avg': {'precision': 0.8267130705701993, 'recall': 0.8271428571428572, 'f1-score': 0.8269259536736436, 'support': 700.0}}","{0: {'No-SCR': 493, 'SCR': 61}, 1: {'No-SCR': 60, 'SCR': 86}}",1313
SVM,5,Unigrama + Bigrama,False,Nenhuma,0.84,"{'Non SCR': {'precision': 0.855072463768116, 'recall': 0.9602169981916817, 'f1-score': 0.9045996592844975, 'support': 553.0}, 'SCR': {'precision': 0.7215189873417721, 'recall': 0.3877551020408163, 'f1-score': 0.504424778761062, 'support': 147.0}, 'accuracy': 0.84, 'macro avg': {'precision': 0.7882957255549441, 'recall': 0.673986050116249, 'f1-score': 0.7045122190227797, 'support': 700.0}, 'weighted avg': {'precision': 0.8270262337185837, 'recall': 0.84, 'f1-score': 0.820562934374576, 'support': 700.0}}","{0: {'No-SCR': 531, 'SCR': 90}, 1: {'No-SCR': 22, 'SCR': 57}}",1313
