S.#,Sentence,Label
689,Before update we used to receive messages and call when phone was locked now after update we not getting any notification on call or messages. ,SCR
690,Only when phone unlocked we get notifications on new messages n can receive call.,Non SCR
691,"It logged me out unnecessarily asking me to log back in, said Session Expired on App?",Non SCR
692, Crazy... ,Non SCR
693,"Group q/a for membership requests does not always show up after submission While filling out answers, bounces around so difficult for potential new members and admins/mods alike. ",SCR
694,Would like to see an option to see answers to questions in a separate group profiles of which now only main profiles exists.,SCR
695,"Can we do something about the marketplace people posting items for $1, $5 and $10 when the description says its actually $1,000, $5,000 and $10,000? ",SCR
696,"I also see items for sale for $100 when the description says its $1,000. ",SCR
697,It's not a mistake! ,Non SCR
698,Suddenly I'm unable to upload more than one photo to a post from my Samsung Galaxy S10 plus. ,SCR
699,Very annoying!,Non SCR
700,Good,Non SCR
701,Bacar,Non SCR
702,Privacy policy (new) is not good... ,Non SCR
703,I hate you what's app,Non SCR
704,Good,Non SCR
705,Whatsapp not workig,Non SCR
706,I am giving it 3 stars because when i go to add sticker option and tap on update sticker it shows the error that it cannot update the pack or sometime it say that i should connect to internet. ,SCR
707,But at that time i am connected to that Its my humbel request Please improve this through an update.,Non SCR
708,"Please add extra security for ""two-authentication"" setting. ",SCR
709,Where I still need verification code via sms even though I log in via recognise device and browser..,Non SCR
710,Recently on video calls it keeps turning my camera off even though I'm still on the WhatsApp screen. ,SCR
711,I have an android phone if that helps. ,Non SCR
712,"I have tried everything! Switching calls, restarting phone etc.",Non SCR
713,Very irritating sounds coming while phone gets reconnecting eror. ,SCR
714,I am totally frustrating. ,Non SCR
715,Please change the sound its tooo noisy,SCR
716,Very nice,Non SCR
717,"Not able to do video or voice call, also the message takes a decade to get send. ",Non SCR
718,Facing this issue since recent update.,Non SCR
719,"My experience with fb is wonderful the notifications, the videos, the friend requests, and about all the other features that is available brings a wonderful experience to my viewership. ",Non SCR
720,Pleasure thank you for sharing your wonderful ideas with me and the rest of the world.,Non SCR
721,WhatsApp is getting worse and worse by every update. ,Non SCR
722,Most of the time people would call eachother and won't ring their phones even though internet is connected on both end. ,SCR
723,After a while the person woupd get a notification of amount of attempt the other person did to call them. ,Non SCR
724,This issue has begun since the spread of COVID-19.,Non SCR
725,Keeps going back to white mode instead of staying in dark mode. ,Non SCR
726,After an update...bloody annoying.,Non SCR
727,Good to use social networking,Non SCR
728,Good,Non SCR
729,It good and easy,Non SCR
730,"Sometime,when I want to post vid in status. ",Non SCR
731,It will delay the sound...the video move fast than sound. ,Non SCR
732,Its annoyong.,Non SCR
733,Ö¶? ....ÖÆÅÖÆÅÖÆ?,Non SCR
734,Good,Non SCR
735,Good,Non SCR
736,Wow,Non SCR
737,Ö¶? ....ÖÆÅÖÆÅÖÆ?,Non SCR
738,"Bom, por??m j?≠ est?≠ bem atrasado (sem op???úo para customizar o wpp), al??m de que muitos usu?≠rios est?úo indo para os wpps modificados....",Non SCR
739,Needs more android integration. ,Non SCR
740,This app needs adapting to suit all the various android watches. ,SCR
741,On the Apple watch you can view chat history and picture etc but can't on any android watch. ,SCR
742,All you can do is reply to the most recent message. ,Non SCR
743,Get an android watch version sorted soon.,Non SCR
744,The new features added were not required. ,Non SCR
745,I still love the old version which did not needed any messenger app for messages.,Non SCR
746,I am giving 4 stars only for the old fb days!,Non SCR
747,Too many bugs in the latest update in Apr 2021. ,Non SCR
748,Bad experience and a number of call drops. ,Non SCR
749,Not expected from an app that has grown so well over the years.,Non SCR
750,I don't know why people are complaining so much. ,Non SCR
751,Facebook works more than 100%. ,Non SCR
752,It's a great app and since facebook's begining i had no problems. ,Non SCR
753,The only problems was my owne stupid falt. ,Non SCR
754,CHECK YOUR SETTINGS PEOPLE. ,Non SCR
755,All your problems are in your own settings. ,Non SCR
756,THANK YOU FACENOOK FOR YOUR GREAT 100% APP.,Non SCR
757,"Ever since this application has been made, it is great for people to meet you. ",Non SCR
758,"The views of all the people who used to speak NH can speak to each other, they enjoy every festival.",Non SCR
759,My facebook app isn't working for a long time. ,Non SCR
760,It's showing we're having trouble in setting up Facebook in English (United Kingdom) at the moment . ,Non SCR
761,If if change this to US also it's not working..,SCR
762,I want Same interface like IOS gives of Whatsapp in Android,Non SCR
763,It would be really nice if I could turn off the sales format posting in my groups. ,SCR
764,It drives me nuts when I am on my computer scheduling posts and then I have to go to my phone and the app to turn off the sale format on each individual post. ,Non SCR
765,"I know a few people that have the option within settings to turn this function off, but it is not available on my phone or my computer as a setting that can be adjusted.",Non SCR
766,Mast aap,Non SCR
767,Good,Non SCR
768,It works but has the same limitations as texting only .......,Non SCR
769,"The app needs to notify every time a message comes in ....not just every now and then if u had that I would say great product""",SCR
770,"Please hide the icon for Voice/Video Call and put them in the options, which is accessible by the 3 dots at the corner. ",SCR
771,It causes a lot of troubles and unintended calls. ,Non SCR
772,"And please remove the option ""Delete For Me"". ",SCR
773,"When you accidentally tap on it, there will be no way to delete it for others.",SCR
774,????????????????????????,Non SCR
775,The app is constantly consuming a lot of data even when I have toggled off the media autodownload option . ,SCR
776,Very annoying ?,SCR
777,Ate about 600 mb in just half an hour ...not understanding why this is happening.,Non SCR
778,It is good.,Non SCR
779,A brilliant App but since the latest update it does not work at all. ,Non SCR
780,None of the messages I try to send arrive. ,SCR
781,It keeps telling me I may have a message when I don't. ,Non SCR
782,This is driving me made. ,Non SCR
783,Please change.,Non SCR
784,"I absolutely love fb, I have found Éù? loved ones by using it. ",Non SCR
785,"But I will say ....the security socks if you don't want yo get hacked, avoid it all together.",SCR
786,"I had a very good experience with FB,but after logout now I have been trying to log in,but OTD doesn't come to me. ",SCR
787,I have been trying since 20-30 days. Please do something FB.,Non SCR
788,I had Good experience with this what's app messenger but only think i didn't like is frequent updates of its.,Non SCR
789, It should be once in a 2 years.,Non SCR
790,Used to love the app until it got hacked. ,Non SCR
791,Keeps telling me i need a code from code generator but i cant access it. ,SCR
792,I submitted a copy of my ID and sent several complaints. ,Non SCR
793,I have yet to hear anything fr anyone. ,Non SCR
794,"I cant play my games, connect with friends or anytjing. ",SCR
795,Im getting beyond upset. ,Non SCR
796,Someone please help me. ,Non SCR
797,i have jad my account for over 10 yrs and would love to have it back.,Non SCR
798,Though it dose keep reconnecting even if I have really good wifi connection,Non SCR
799,Privacy policy (new) is not good... ,Non SCR
800,I hate you what's app.,Non SCR
801,"Why do I have to keep turning off the ""Videos start with sound"" in settings everytime after close the app? ",SCR
802,It always turns it back on its very frustrating.,Non SCR
803,Francisco Sofatey,Non SCR
804,"Why my Samsung galaxy s20 notification is not compatible with WhatsApp anymore, nowadays I don't even know when I get a message no notification is being sent. w nothing.",SCR
805,Now I have to click on the app open just to see who message me. ,Non SCR
806,Before I got an alert on my on when I got a message and it had the number of the messages displayed.,SCR
807,Normally great but my most recently my mobile keeps logging me out of Facebook. ,Non SCR
808,I have changed my password and reinstalled a few times but still keeps doing it. ,Non SCR
809,I've done the updates too.,Non SCR
810,My whats app not working on wifi data,Non SCR
811,I like Facebook. I've been using this app for years now. ,Non SCR
812,It is a good way to keep in touch with family and friends all around the US for me. ,Non SCR
813,Also joining groups and reading their post or how they are feeling. ,Non SCR
814,My family and friends. ,Non SCR
815,I enjoy playing games like word blitz on here to. ,Non SCR
816,Theres market place where you can buy and sell things.,Non SCR
817,Nice,Non SCR
818,Really good app,Non SCR
819,This app was great until Facebook bought it for a gazillion $$. ,Non SCR
820,As if that company didn't already have enough of our personal information to sell. ,Non SCR
821,"Also, when there's an update, they never describe or state what it is.",Non SCR
822,I really like this app. ,Non SCR
823,As this help me a lot at the time of lockdown by making me connected with my classmate and teacher which is very much significant for me .....,Non SCR
824,You should improve the status uploaded videos. ,SCR
825,There will be always some bug when a video is uploaded in the status. ,Non SCR
826,"If we upload two videos at a time, either there will be a frame drop in the video or the audio in both the videos overlap each other where the audio doesn't sync with the video.",SCR
827,?????????Ò?? ???? ???? ?¶?Ò???? ?????Å???¶ ???????? ????????,Non SCR
828,Nice,Non SCR
829,Nice,Non SCR
830,"Everything is going well but in this latest version, there is problem playing video in FB . ",SCR
831,Sometimes it's becomes totally dark but sound can be heard. ,SCR
832,Plz fix as soon possible.,Non SCR
833,Nice,Non SCR
834,More data beast app,Non SCR
835,Nice,Non SCR
836,Great,Non SCR
837,"Please,do something with that marketplace,work on it,refine search,filter by type,year,date of appearance,zone,etc... ",SCR
838,It's useless...and it's useless and neglected from the beginning.,Non SCR
839,"How come even after I blocked all the numbers of a person, the could still see my status updates? ",SCR
840,"So here's it, even after I blocked them, deleted their numbers and all and we got back to taking later, they could tell me exactly what I had put on my status for the past few days. ",SCR
841,Then I tried saving their number but excluding them from my status which worked. ,Non SCR
842,"They couldn't see it anymore but they literally told me they could see it if they wanted and behold, I got a screenshot of my upload!",SCR
843,"The app is way too much consumed the storage under the phone's setting, while to clear it means we have to reset the app. ",Non SCR
844,The cache is clear-able. ,SCR
845,The apps storage management wont affect the data under the phone's app setting. ,Non SCR
846,"I tried to find the way to reduce it, but there is no other way than resetting the app. ",Non SCR
847,IT'S ANNOYING !!!,Non SCR
848,"General interface is, unfortunately, not very user-frjendly. ",Non SCR
849,"There should be easier access methods integrated, even if only for those clients who are new users.",Non SCR
850,It's a good app But recently I'm having a lot of issues logging in. ,SCR
851,It says no internet connection but I've checked a lot of times that i do have internet connection..,Non SCR
852,Pls fix this as fast as possible...,Non SCR
853,A little bit bugy,Non SCR
854,Good,Non SCR
855,I have had nothing but trouble ever since the last update. ,Non SCR
856,Sometimes games and videos will work and then other times it won't. ,Non SCR
857,You need to fix it.,Non SCR
858, You should make sure all the bugs are out of it before you release the new update.,Non SCR
859,"My status updates appearing for everyone in my contacts, but recently my status updates appearing for only selected contacts. ",SCR
860,"I want to appear my status to everyone, in my contacts, and also that update list of mine.",SCR
861,"Why do I have to keep turning off the ""Videos start with sound"" in settings everytime after close the app? ",SCR
862,It always turns it back on its very frustrating.,Non SCR
863,Rs meena,Non SCR
864,It is good,Non SCR
865,Achy,Non SCR
866,Good,Non SCR
867,Samuel. Mwaura,Non SCR
868,I honestly can't stand that they took out the option to sort by most recent. ,SCR
869,It use to be in a tab or as you scrolled down it would pop up at the top to select. ,Non SCR
870,Now it os just gone.,Non SCR
871,It is a great place to use chat services. ,Non SCR
872,However I'm a bit annoyed with its privacy features. ,Non SCR
873,I don't want any random contact outside my contact list to call me but I don't have that settings. ,SCR
874,It becomes annoying to receive calls on Whatsapp from random contacts. ,Non SCR
875,I hope there's a way to block this unnecessary traffic. ,Non SCR
876,Also I cannot report suspicious numbers.,SCR
877,Its a great app but I'd love to see a like/thumbs up botton in a Group Chat. ,Non SCR
878,So don't have to reply to unnecessary stuff. ,Non SCR
879,"For instance if a lecture says ""Does everyone understands"" just click the thumbs up instead of fluding the chat with yes. ",Non SCR
880,I think that'll be convenient.,Non SCR
881, I'm sure I'm not the only one who wouldn't want that feature.,Non SCR
882,They just said google chrome has somekind of hacker on it till i find out im sighning out of my sites. ,Non SCR
883,I can chat on on my phone ive used google for as long as theve had computers. ,Non SCR
884,I dont want to believe it but my phone hasnt been working write since it did update a week ago.,Non SCR
885, Phillip and im not a computer person. ,Non SCR
886,I didnt understand what you just told me about my info it that bad how it is thank you please let me know.,Non SCR
887,"I'm highly disappointed that whatsapp couldn't secure my back data even with my 2-step security verification, Telegram restore all my contacts with ease.",SCR
888,"I was so reliable and bankable but you've failed me, undoubtedly my supposedly secured my backup data has been comprised.",SCR
889,Im not happy at all,Non SCR
890,"At 5pm, Dark Mode came back on so, as I promised, back to 5 stars.  ",Non SCR
891,Thanx! ~~~~ Dark Mode disappeared!,Non SCR
892,"As of 4pm CST, April 10, 2021, the Dark Mode just vanished! ",Non SCR
893,I'm an Admin of a FB group & spend a lot of time on FB. ,Non SCR
894,My eyes can NOT take the bright white display! ,SCR
895,Please FIX THIS ASAP! I'll change my review to 5 stars once it has been fixed.,Non SCR
896,Very good,Non SCR
897,Nice,Non SCR
898,Security is very poor because hackers can set up 2 way verification pin externally without access into WhatsApp. ,SCR
899,Making it easy to lock out the real owners of the phone number and impersonate you and send bogus messages to your contacts.,SCR
900," And then to make matters worse, one has to wait 7 days before one can get back into their WhatsApp.",Non SCR
901,Its really good but in my messenger sometimes i think some other operate my messenger. ,Non SCR
902,Because i do not type and suddenly i see there is automatic typing and other think that i wrote that message.,Non SCR
903,Its super?,Non SCR
904,but we need more facilities like add hide chat feature...view deleted chats . ,SCR
905,Add this 2 feature plz.,Non SCR
906,Boring,Non SCR
907,Mostly good but security can be annoying as there's no opportunity to enter a pin if fingerprint recognition fails (as does often on my Galaxy Note 9 when my hands are dirty). ,SCR
908,Please add an alternative authentication method.,SCR
909,Occasionally I use what's up. ,Non SCR
910,"The message sent to my address from my,daughters, Grandchild I am being Confirmed. ",Non SCR
911,what's up Keeps the privacy very well. ,Non SCR
912,Thanks.,Non SCR
913,Nice,Non SCR
914,So good app,Non SCR
915,Pehle download karo phir update karo bhot net kharch hota hai Therefore so bad,Non SCR
916,Me Gustave (Baby name),Non SCR
917,It is an excellent app. ,Non SCR
918,But since last few days I'm facing some issues as many times the App doesn't work as I'm unable to send or receive messages.,SCR
919,I have to restart my phone then only it works.,Non SCR
920,"The other apps & functions working on internet works fine,even the whatsapp business,but I'm facing this with WhatsApp only.",SCR
921,It is not working. after updating. ,Non SCR
922,It is just loading old posts and is not loading anything properly. ,SCR
923,The same thing happened to my friends. ,Non SCR
924,Please fix this.,Non SCR
925,Its ok.,Non SCR
926,"Good app, but web version does not have video chat capabilities that would make it a great all-around application!!!",Non SCR
927,So nice very nice,Non SCR
928,???Å,Non SCR
929,Nice,Non SCR
930,Suddenly I'm unable to upload more than one photo to a post from my Samsung Galaxy S10 plus. ,SCR
931,Very annoying!,Non SCR
932,I found facebook apps very useful in keeping up with every body u wish to and makes it easier to keep in contact.,Non SCR
933," For birthdays, Christmas, easter, and other days.",Non SCR
934,"Have noticed the quality of videos uploaded on status is deceased to a very low quality compared to original copy, making status video partially unclear.",SCR
935,"This usually happens to videos recorded with WA camera, phone camera app, snapchat & other camera apps. ",Non SCR
936,"Please fix this because it doesn't happen on iphone, only android and i use Samsung note 9.",Non SCR
937,"Also, high quality images sent on WA android is usually reduced to less 100 KB, that is not right! ",SCR
938,There should be an option to keep original copy.,SCR
939,My God is Able,Non SCR
940,Lastest update is awfull.,Non SCR
941,I love the app but it disappoints me that we can't upload a full cover picture.,SCR
942, I request Facebook team to solve this problem plz............,Non SCR
943,???????????????????????????????ç???????????????????????ú???????????úÉ?ßã?è????????????????,Non SCR
944,"Everything is going well but in this latest version, there is problem playing video in FB . ",SCR
945,Sometimes it's becomes totally dark but sound can be heard. ,SCR
946,Plz fix as soon possible,Non SCR
947,This app gets so underestimate nowadays. ,Non SCR
948,"This is one of the best (live, games, video, business connection, friends, quiz etc..)use it well. ",Non SCR
949,"Everyone is not a model to show up in IG, I feel FB is more real.",Non SCR
950,You guys should really think of adding an Inbuilt translator. ,SCR
951,It would make it that much better. ,Non SCR
952,Also the green dot that's on Instagram and Facebook to show when someone is online. ,Non SCR
953,I'm surprised it's not already there!,Non SCR
954,Ranjeet.yadav,Non SCR
955,It would be better if you add the timer option for sending messege (for group messeges) it would be great! ,SCR
956,I will be waiting for this great update.,Non SCR
957,This update will turn this rating a 5.,Non SCR
958,Ö??Ö??Ö?˝Ö??Ö?™Ö??Ö??Ö??Ö?¯ Ö?èÖ??,Non SCR
959,Dimple 2,Non SCR
960,Good app but sometimes the update come very early I don't know why this occurs to me,Non SCR
961,Network not good,Non SCR
962,Great experience playing game fun and exciting; very challenging.,Non SCR
963,Not enough oppurtunity to gain boosters and stars.,SCR
964,A brilliant App but since the latest update it does not work at all. ,Non SCR
965,None of the messages I try to send arrive. ,Non SCR
966,It keeps telling me I may have a message when I don't. ,SCR
967,This is driving me made. ,Non SCR
968,Please change.,Non SCR
969,Thk hi,Non SCR
970,Am not able to post videos on my status,SCR
971,"Facebook needs to help people who's account got hacked, like me, the 'forgot password' doesn't help . ",SCR
972,"It needs me to access my email or number but the hacker changed it, facebook, fix this, many accounts has been hacked but can't recover it.",Non SCR
973,Normally I use dark mode in fb to save battery. ,Non SCR
974,But after I updated it yesterday whenever I open a group from notification it's sometime in dark and sometime in normal mode even though I have dark mode activated. ,SCR
975,Do something about this. ,Non SCR
976,Then my current account status is in warning for something I did 3-4 months ago. ,SCR
977,I don't even know when it will be removed. ,Non SCR
978,So if I do the same thing I did last time and get my account restricted for somedays will my warning be removed after my restriction is over?,SCR
979,"Surprised that we can't move storage to SD card - real encumbrance to users with constant clean up, especially of video media to free up space. ",SCR
980,Why can't users relocate media storage to SD? ,SCR
981,Now Update in this Apr 2021 release does not outline reason and list bug fixes.,Non SCR
982,People you may know' keeps appearing in the newsfeed. ,Non SCR
983,I dislike this feature. ,Non SCR
984,There should be an option to turn it off permanently. ,Non SCR
985,This app has been permanently preinstalled in the tablet. ,Non SCR
986,Bloatware. (software whose usefulness is reduced because of the excessive disk space and memory it requires),Non SCR
987,There is no way to uninstall it.,Non SCR
988,"Low pic quality , u can't record voice when a photo from chat is open. ",SCR
989,Suppose u wanna teach sth or tell sth about the pic u can't open it and record a voice message at the same time. ,Non SCR
990,Im fed up with some unnecessary useless policies like... ,Non SCR
991,"A contact can see ur status without letting u know , :| what? ",SCR
992,Btw u can't adjust call volume when having a voice call and it's always high. ,SCR
993,Anti delete status ? ,Non SCR
994,Anti delete messages?  ,Non SCR
995,WTH?,Non SCR
996,Im using original whatsapp but these poliecies suck. ,Non SCR
997,I'ma uninstall,Non SCR
998,Edit- Thank you for bringing bback the old feature. Previous 1star comment - ,Non SCR
999,"Please bring back the visual feedback in the whatsapp homescreen where we click on the contacts to view their messages, it's really annoying. ",Non SCR
1000,I have given 1 star for you to notice this issue. ,Non SCR
1001,I will change to 5 stars once fixed.,Non SCR
1002,With this latest update the app keeps reopening after a minute of being on a 3rd party website with in the app. ,Non SCR
1003,"Like when you click a link, you get redirected to that site with the app, you're scrolling, and then it all of a sudden it will reopen with the white background & FB logo.",SCR
1004, Rather annoying since I did not click to go back to my newsfeed.,Non SCR
1005,Two latest updates not working perfectly.,Non SCR
1006,Is it android 11 causing issues?,Non SCR
1007,Hey Facebook can you please fix the notifications because the loading is too slow. ,SCR
1008,My wifi is too fast and the notification while im scrolling down is too slow not going down the notification. ,SCR
1009,pls fix thank you,Non SCR
1010,Good,Non SCR
1011,Interesting,Non SCR
1012,Used for the right purposes this brings such joy and comfort. ,Non SCR
1013,Spending time sharing things that encouraging and are truthful leads to a lot that comes back to remember. ,Non SCR
1014,Can't give enough thanks for the treasures God has allowed me to keep by journeying with Facebook. ,Non SCR
1015,Sharing life and loving friends and people I've never met but know we share the same heart. ,Non SCR
1016,Loving life through thick & thin with God's Word lighting the path.,Non SCR
1017,"Last year it was perfectly fine but then when I was opening it, but it just closed and when I was opening it again and again. ",Non SCR
1018,It still doesn't open please can you do something because there's nothing wrong with my phone.,Non SCR
1019,Pehle download karo phir update karo bhot net kharch hota hai. ,Non SCR
1020,Therefore so bad.,Non SCR
1021,Messages are not always backed up even when I set them to be. ,SCR
1022,I've lost a few contacts because of that. ,Non SCR
1023,Also the quality of the vouce and video calls could be better.,SCR
1024, Overall a helpful app.,Non SCR
1025,I was a deva curl user. ,Non SCR
1026,I am still going through the damage hair went to a dermatologist because the itching was terrible it was a waste. ,Non SCR
1027,"I am still itching I have used oils for the bumps on my scalp, hair this and hair that I lost my hair. ",Non SCR
1028,I finally cut it almost all now it doesn't want to grow I had curls at mid back. ,Non SCR
1029,I have used almost all the shampoos that come out on youtube nothing helps my scalp is visible before I had so much hair. ,Non SCR
1030,I didn't care if i lost a little bit now and then now.,Non SCR
1031,Ok,Non SCR
1032,Nice app,Non SCR
1033,nice app,Non SCR
1034,This app is GREAT but im having problem with spamming in my status like after posting 200+ photos. ,Non SCR
1035,It won't let me spam more. the app crashes when i do so. ,Non SCR
1036,please work on this and fix it and let us spam more than 1000 without crashing. ,Non SCR
1037,Thank you !,Non SCR
1038,"It's a very good app but when you post pictures the quality of the pictures becomes low and you cannot post long videos , it only limits to 30 seconds .",SCR
1039, I would love it to increase to at least 1 minute and also fix the picture quality.,Non SCR
1040,"I would have given a 5 stars, but the marking feature when sending images is acting odd.",SCR
1041," Everytime I use the marker to draw on the image, it wont show all of the marks, and erase some. ",SCR
1042,The same goes with the back feature when marking. ,Non SCR
1043,It doesnt reverse the mark that was just drawn but also the older ones. ,SCR
1044,Please fix.,Non SCR
1045,Nice,Non SCR
1046,This app gets so underestimate nowadays. ,Non SCR
1047,"This is one of the best (live, games, video, business connection, friends, quiz etc..)use it well. ",Non SCR
1048,"Everyone is not a model to show up in IG, I feel FB is more real.",Non SCR
1049,There hase been an audio bug when posting a long video on what's app. ,SCR
1050,Pls can that be fixed and also when what's app really kills the quality of pictures and videos sent.,Non SCR
1051,Fun informative end allows me to contact people that I have not seen for a long time that moved away in Facebook is wonderful. ,Non SCR
1052,thank you.,Non SCR
1053,I have used FB for 12 years and I rely on it to keep in touch with friends and family everywhere.,Non SCR
1054, I don't like the way FB crams ads into my news feed and the way they constantly change the set up and where to find my photos and stuff. ,SCR
1055,"Still, there is no better social platform.",Non SCR
1056,This is my 5th update in less than 2months still the notification pop up is still off.. ,SCR
1057,Saying my version is old and have update my phone and still updated it now.,Non SCR
1058, I am using Samsung A20es.,Non SCR
1059,Very good,Non SCR
1060,Facebook is socal media aaps,Non SCR
1061,"I LOVE facebook...... But, Dear Facebook, I have a problem with my ID.",SCR
1062, Reasons to Disable. ,Non SCR
1063,I lost my mobile phone. ,Non SCR
1064,Google Authenticator was installed on that mobile phone. ,Non SCR
1065, I did not save the Google Authenticator Recovery key. ,Non SCR
1066,"Please sir, disable 2FA and give the opportunity to login. ",SCR
1067,"Attached my National identity card, Best Regard's. ",Non SCR
1068,Ö??Ö?˝ Ö??Ö?Æ Ö?≠Ö?®Ö??Ö??Ö?®(fb id name).,Non SCR
1069,No Downloading No uploading No status No text messages always says 'check internet connection' But all other apps are using net connection properly. ,SCR
1070,The worst app I seen my entire ife?,Non SCR
1071, I Hate U WHATSAPP..,Non SCR
1072,Good app,Non SCR
1073,I was incorrectly blocked from posting. ,SCR
1074,After sending any image with text the quality falls too low that the receiver can't understand a single word.. ,SCR
1075,Pls provide a quality setup for sending image or video's.,SCR
1076,"In this digital world, everything is happening on whatsapp. ",Non SCR
1077,"sometimes, we cant leave one particular group due to various reasons. ",Non SCR
1078,There should be an option to put that group in archive OR sleeping mode OR hide so that we dont have to see that irritating group.,SCR
1079, It comes up when any new message arrive. Whatsapp team should work on it.,Non SCR
1080,I will complete it five star when my issue is resolve completely After reporting the issue is not yet resolve. ,Non SCR
1081,why do I get it difficult to view my friends profile when am messenger. ,Non SCR
1082,It keeps referring me to Facebook lite or chrome browser while not the normal Facebook app I used to log in.,Non SCR
1083,In general great app but losing two stars because only having an option to lock with fingerprint makes my phone completely useless for messaging when I have to wear gloves. ,SCR
1084,Please include the option for a pin code or something as an alternative like the standard lock screen on a phone.,SCR
1085,"In next update, do something like if someone is on whatsApp call so we know about that. ",SCR
1086,We find that the person is on another call without calling them.,Non SCR
1087,It was good until people stopped texting in order to send those recorded audio messages. ,Non SCR
1088,Please take away this audio record feature. ,SCR
1089,It's pointless.,Non SCR
1090," If you want to speak, make a call.",Non SCR
1091,This app si good but sometimes its to slow to reload. ,Non SCR
1092,I don't know if the problem is in the data connection but all in all its good to use:)),Non SCR
1093,Da silva (just some one name),Non SCR
1094,Censorship... alot is y I gave them a 3.,Non SCR
1095,"Update - they got rid of the continue on watch, it works well again **Update**.",Non SCR
1096," They brought back ""Continue on Watch"" which is the absolute worst feature ever. ",SCR
1097,Please get rid of this immediately.,Non SCR
1098,???????????????????????????????ç???????????????????????ú???????????úÉ?ßã?è????????????????,Non SCR
1099,"One of the things i hate for the moment is cropping the duration of videos, in the preview it shows the part i wanted, but 
when i send it to anyone, it shows the early parts or the parts that are supposed to be cropped out, which is very annoying.",SCR
1100,"Poor Calling Feature, voice after sometime isn't audible even if sitting next to Wifi Router ! ",SCR
1101,"Please remove away the feature to turn off read reciepts, people read message & deny. ",SCR
1102,It's really a bad feature !,Non SCR
1103," You guys don't even read reviews, do you??",Non SCR
1104,Problem solved. ,Non SCR
1105,5 stars You have BIG PROBLEM with the browser when i try to open all my ads from the news feed . ,Non SCR
1106,"To long time to load the page, problem when i try to scroll , etc... ",Non SCR
1107,Let me know if this is an issue from me or is general. ,Non SCR
1108,Thank for you hard work.,Non SCR
1109,???ç,Non SCR
1110,After policy terms,Non SCR
1111,It keeps changing the layout and search process making searching for anyone virtually impossible.,Non SCR
1112,"App crashing automatically and unable to restore chats, informed through mails but no reply. ",Non SCR
1113,This daily issue for me app crashes and restore backup shows daily,Non SCR
1114,Ilove you,Non SCR
1115,Parbjit singh,Non SCR
1116,Falak,Non SCR
1117,i use this app.,Non SCR
1118,nice and good.,Non SCR
1119,Not log also.,SCR
1120,It is simple but charming.,Non SCR
1121,Hardworking,Non SCR
1122,Rs meena,Non SCR
1123,Cool,Non SCR
1124,Aahskeckf que,Non SCR
1125,Sometimes It doesn't show any Blue tick. ,SCR
1126,Now it happens with me for 1week. and also some time it doesn't notify me when the app is closed. ,Non SCR
1127,Plz solve my problem soon. ,Non SCR
1128,It is so irritated.,Non SCR
1129,It's good and very easy to talk with every person video calls are also great.,SCR
1130,Ok,Non SCR
1131,I had Good experience with this what's app messenger but only think i didn't like is frequent updates of its. ,Non SCR
1132,It should be once in a 2 years.,Non SCR
1133,Where is the dark mode?,SCR
1134,I use the app to communicate with one person.,Non SCR
1135,I request Facebook team to solve this problem plz............,Non SCR
1136,Mambo,Non SCR
1137,good you app,Non SCR
1138,Bravo,Non SCR
1139,As social media platform good. ,Non SCR
1140,"As a fair and non bias platform, this app is not. ",Non SCR
1141,If you get this app. ,Non SCR
1142,Limit all info and access you give this app. ,Non SCR
1143,Also don't allow any news feed as it is designed to radicalize you to one side or the other. ,Non SCR
1144,Usd this app only for friends and family and you will be happy.,Non SCR
1145,???ç,Non SCR
1146,"Always Facebook provide the best experience but at the time now i think facebook is very down because 
nothing is loading and playing all thing post and videos are just buffering but not playing posting the any things. ",Non SCR
1147,so please solve this problum.,Non SCR
1148,Good but not good sometimes it stucks,Non SCR
1149,55 is 32466 6356 for 646 5y5555536 4,Non SCR
1150,Nice Facebook,Non SCR
1151,I wish I could delete it.,Non SCR
1152,Is taking too much space?,Non SCR
1153,Why popup notification are no longer available in my android?,SCR
1154, It to hard for me to know if there are chat were coming in my wassap. ,Non SCR
1155,Please fix this problem.,Non SCR
1156,"After the recent android11 update, it is crashing everyday. Sent feedback many times but of no help. ",Non SCR
1157,Have to uninstall and reinstall again and again everyday.,Non SCR
1158,So what happend to the ability to share content to emails options gone?,Non SCR
1159,Update of homefeed and notifications are getting worse and worse after every update for the last two years or so.,SCR
1160,time barbad,Non SCR
1161,"Everything is going well but in this latest version, there is problem playing video in FB . ",SCR
1162,Sometimes it's becomes totally dark but sound can be heard. ,SCR
1163,Plz fix as soon possible,Non SCR
1164,Videos are ending abruptly and the screen goes back to the top. ,SCR
1165,Happened several times. ,Non SCR
1166,No option to send video comment.,SCR
1167,I would've given 5 but i have to check the number of messages for some chats which has been removed and only shows mbs in data & storage.,Non SCR
1168, kindly bring the message count back!,SCR
1169,Audio has now gone quiet since update. ,Non SCR
1170,Hands free cuts out when on calls. ,SCR
1171,Hands free cuts out when switching to other apps. ,SCR
1172,I may have to give this 'SIGNAL' app a go.,Non SCR
1173,Dks,Non SCR
1174,Atibur,Non SCR
1175,A little bit bugy,Non SCR
1176,When we open the chat option through contacts and press the back button it throws me to suddenly out to the main conversation. ,SCR
1177,Please rectify the back option also,SCR
1178,I love facebook because this is my safe app. ,Non SCR
